,embedding,node_id
24,"[ 2.52828979  0.29992118  3.04388785  1.25139594  1.23056304  0.
  2.98155475  0.          3.14276552  0.13424544  2.76122904  0.          0.
  2.11167526  0.18600924  3.79011106  3.37599754  0.          0.
  0.29165298  1.43519139  0.10463278  0.61685449  1.05346859  0.          0.
  0.32189408  0.67917329  0.          0.47996652  0.          1.32873225]",429
25,"[ 2.24395609  0.05226028  3.04983521  1.09248662  1.17245746  0.
  2.59343028  0.          2.54427481  0.21205312  2.21610665  0.          0.
  1.8545078   0.16281442  3.80436683  3.11993766  0.0248943   0.
  0.58828729  1.29438686  0.37946355  1.13203919  1.15783608  0.          0.
  0.10500112  1.05881524  0.          0.54477143  0.06257872  1.08378065]",109
26,"[ 2.67865872  0.03058316  1.90570772  0.08233257  1.87077796  0.
  5.23987007  0.          2.99711323  0.          4.14008713  0.01049436
  0.          1.51833868  0.          3.23646474  4.34560728  0.          0.
  1.05899143  1.97201836  0.          0.          1.29607582  0.          0.353607
  1.05323946  0.98774993  0.          0.50042617  0.          1.36713135]",42
27,"[ 2.25415015  0.03351542  2.1904223   0.37588432  1.60548055  0.          5.0106349
  0.          2.98150849  0.          4.05505848  0.10727137  0.
  1.68199146  0.08542673  3.5176816   4.25718546  0.28871942  0.
  0.64923388  2.0480864   0.          0.          1.63022339  0.
  0.20488763  0.94870812  1.07407737  0.          0.40606648  0.
  1.45687973]",43
28,"[ 2.39742351  0.          1.84217274  0.42050102  1.30342877  0.
  4.67898178  0.          2.77127647  0.          3.56510472  0.14446488
  0.          1.31880891  0.05228806  3.23545337  3.60914636  0.33078164
  0.          0.77831542  1.71206868  0.          0.          1.48706317
  0.          0.27694872  0.88534164  1.07484412  0.          0.47680902
  0.          1.39450932]",44
29,"[ 2.92480731  0.          2.31872797  0.09621885  1.82638192  0.
  5.70919037  0.          3.33030438  0.          4.66259956  0.          0.
  1.83568871  0.          3.78852582  4.94992971  0.          0.
  0.96104956  2.14070129  0.          0.          1.5143528   0.
  0.50076735  1.14681005  1.05169404  0.          0.58130133  0.
  1.53616488]",45
30,"[ 2.67892861  0.07100368  2.36982512  0.1605307   1.53533244  0.
  5.38469267  0.          3.17649651  0.          4.18103218  0.06690014
  0.          1.51476181  0.07188115  3.51556849  4.74557495  0.42462945
  0.          0.82143623  2.07152581  0.          0.02552041  1.71024168
  0.          0.23884457  1.01773798  0.89702439  0.          0.69341737
  0.          1.50619578]",46
31,"[ 2.59087849  0.0088647   2.33519864  0.18246102  1.83841455  0.
  5.39544535  0.          3.20222569  0.          4.08627224  0.          0.
  1.72093868  0.26669309  3.53356409  4.40160561  0.38757047  0.
  1.12431586  2.38994575  0.          0.19876908  1.64511311  0.
  0.35698292  1.16362381  0.775949    0.          0.3907553   0.
  1.30343759]",324
32,"[ 3.27306533  0.30978048  2.60360909  0.4144721   2.14420795  0.
  5.86438131  0.          3.99239993  0.03214197  4.80633402  0.          0.
  2.15846896  0.25540429  4.01444483  5.51433516  0.          0.
  1.70640945  2.4989574   0.          0.27260125  1.7148174   0.
  0.31875417  1.10881686  1.2645942   0.          0.52943587  0.
  1.52967048]",607
33,"[ 2.09988832  0.          1.75026798  0.11781907  1.44182026  0.          4.7506671
  0.          2.69512606  0.          3.77287626  0.          0.
  1.35408306  0.          3.10330033  3.91626716  0.21343026  0.
  0.61553967  1.653561    0.          0.          1.32802343  0.          0.3641215
  1.12962067  0.72755075  0.          0.39580199  0.          1.31269145]",965
34,"[ 2.70388722  0.          2.12514472  0.17444983  1.57288873  0.
  5.13684797  0.          3.07997227  0.          3.979985    0.          0.
  1.29791951  0.12308033  3.26558137  4.15551758  0.05221206  0.
  0.86171222  1.99694514  0.          0.          1.40094948  0.
  0.40759066  0.83578151  1.06063104  0.          0.68644667  0.
  1.47738802]",966
35,"[  2.34926772e+00   0.00000000e+00   2.03865099e+00   2.54471302e-01
   1.66751003e+00   0.00000000e+00   4.93428469e+00   0.00000000e+00
   2.94097352e+00   0.00000000e+00   3.75460672e+00   0.00000000e+00
   0.00000000e+00   1.51072252e+00   2.27032695e-03   3.52387476e+00
   4.28180742e+00   9.13189948e-02   0.00000000e+00   7.47331977e-01
   1.91855836e+00   0.00000000e+00   0.00000000e+00   1.38010788e+00
   0.00000000e+00   4.80867594e-01   8.84715438e-01   8.42056155e-01
   0.00000000e+00   6.00896478e-01   0.00000000e+00   1.37046206e+00]",958
36,"[ 2.12030029  0.          1.92860174  0.06758791  1.30546761  0.
  4.73464918  0.          2.67555141  0.          4.04549742  0.          0.
  1.21151865  0.          2.96106029  3.96248984  0.16847686  0.
  0.49329379  1.64075983  0.          0.          1.27797592  0.
  0.05040551  1.0331713   1.02397203  0.          0.54113644  0.
  1.44974291]",959
37,"[ 1.94470406  0.          2.14425397  0.18622132  0.87825191  0.          4.2295084
  0.          2.46652722  0.          3.50656533  0.0060238   0.
  1.42703617  0.          3.29042768  3.80187058  0.44358104  0.
  0.43139261  1.45459425  0.          0.          1.47589147  0.          0.
  1.00818813  0.96250206  0.          0.66353619  0.          1.2886405 ]",1091
38,"[ 2.05966783  0.          1.87240195  0.40346298  1.51716912  0.
  4.74109697  0.          2.85746074  0.          3.60249066  0.          0.
  1.3865304   0.05987514  2.85917521  3.72503614  0.32811126  0.
  0.31306919  1.9669112   0.          0.          1.48928034  0.
  0.27948073  0.83210891  0.81766403  0.          0.27104211  0.
  1.64608836]",1092
39,"[ 2.43036127  0.          2.12249303  0.07782288  1.7208631   0.
  5.10961723  0.          2.82392192  0.          3.99978924  0.09337464
  0.          1.87249005  0.20698383  3.76818466  4.47449827  0.16054772
  0.          1.03193879  1.93801391  0.          0.          1.410689    0.
  0.38620391  1.08087528  0.88670981  0.          0.44347766  0.
  1.24763882]",851
40,"[ 2.41083002  0.11727414  2.13836336  0.31495857  1.59269679  0.
  5.01156712  0.          2.79087853  0.          4.02027273  0.01595232
  0.          1.53301954  0.03216996  3.27807331  4.05881643  0.2943415   0.
  0.80283713  1.89128888  0.          0.          1.44481921  0.
  0.07013001  1.23037851  0.98746777  0.          0.50739717  0.
  1.33922708]",215
41,"[ 2.78137732  0.          1.63627696  0.11586543  1.42705297  0.
  4.21906233  0.          3.26064062  0.03913718  4.90487242  0.          0.
  1.97450888  0.          3.70201039  4.13441706  0.          0.          0.
  1.33380437  0.          0.12643614  1.45969892  0.          0.68161762
  1.16390824  0.66788769  0.          0.03074179  0.          1.96288991]",123
42,"[ 3.29966736  0.05147083  3.5382843   0.          1.36811125  0.
  4.27743006  0.          4.53272772  0.2550717   3.54062152  0.          0.
  2.23193407  0.          4.28424025  4.06807661  0.45060953  0.
  1.59071958  2.30438685  0.08381668  0.          1.52267301  0.
  0.34603283  0.86746377  1.16409683  0.          1.4973197   0.
  1.66515565]",822
43,"[ 2.54815555  0.          1.93447065  0.          1.71591771  0.
  5.06472158  0.          2.96784544  0.          3.77613282  0.06996393
  0.          1.5690043   0.08481548  3.05192447  4.11726046  0.25828421
  0.          1.17809939  2.18738484  0.          0.          1.38589191
  0.          0.5582099   0.94779134  0.83048093  0.          0.68201143
  0.          1.37438405]",1181
44,"[ 2.4340961   0.05995512  2.08109283  0.20502265  1.37044489  0.
  4.94552851  0.          2.86804986  0.          3.9637866   0.03247972
  0.          1.49193597  0.          3.24824452  4.05136538  0.24123283
  0.          0.7253716   1.94258094  0.          0.          1.50891864
  0.          0.29707333  0.96857458  0.91200447  0.          0.72286206
  0.          1.50161541]",1208
45,"[ 2.76644564  0.09754047  2.92247581  0.7577889   0.66361624  0.
  3.24899316  0.          2.74478865  0.          3.15547132  0.          0.
  1.34520102  0.57320142  3.09501052  2.4772768   0.          0.
  1.05610716  1.50294852  0.22627923  1.03877711  1.88865316  0.          0.
  0.40843052  0.87437528  0.          0.41406241  0.47197983  1.39874673]",47
46,"[ 3.75730085  0.          3.26608038  1.28271663  1.54923713  0.
  4.46336079  0.          4.0502634   0.          3.49445748  0.          0.
  1.51248181  1.16331279  3.39053035  3.1077013   0.08734481  0.
  1.60076869  2.98018384  0.87099838  1.3699379   2.70711827  0.          0.
  0.          0.78024429  0.          0.75838512  0.          2.11978102]",114
47,"[ 3.03935099  0.          2.84881473  1.1698122   0.44934708  0.
  2.48539782  0.          2.80538845  0.          2.74986148  0.          0.
  2.08748221  0.62713355  3.25388288  2.40601349  0.          0.
  0.78513134  2.06377935  1.12055159  0.91570336  2.21939373  0.          0.
  0.          0.47669071  0.16444582  0.49482846  0.1207895   1.72277856]",181
48,"[ 2.8041575   0.22948393  3.22483921  0.58392972  0.88678867  0.
  3.11560655  0.          3.23484159  0.          3.37576127  0.          0.
  1.41523206  0.63769352  3.7043469   3.07778049  0.          0.
  0.71680635  1.86785173  0.25852555  1.68888295  1.88373411  0.          0.
  0.71431369  0.51629841  0.          0.77519155  0.          1.24196815]",235
49,"[ 2.38222241  0.88830048  3.21622324  0.69125664  0.76375103  0.
  2.58869886  0.          2.97073603  0.          2.73990393  0.          0.
  1.32074094  0.53809881  3.5498817   2.75991344  0.          0.
  1.30651069  1.68789458  0.75635779  1.56663287  2.02254415  0.          0.
  0.          1.10298014  0.          1.10474253  0.          1.17606306]",236
50,"[ 2.32426906  0.05980012  2.45554924  0.52674049  0.43887496  0.
  2.47347665  0.          2.28678465  0.          2.47573066  0.          0.
  1.10050452  0.52758843  2.50964522  1.7653327   0.          0.          1.0001353
  1.42273748  0.36200166  0.72357255  1.6324383   0.11958773  0.
  0.25484896  0.59947824  0.          0.45944962  0.32613435  1.06162059]",380
51,"[ 2.12541223  0.26124954  2.38376284  0.52104837  0.44053239  0.
  2.14605498  0.          2.26433396  0.          2.52792716  0.          0.
  1.07839024  0.42968181  2.40953493  1.64874375  0.          0.
  0.93042898  1.23806715  0.50261843  0.80568755  1.2835058   0.          0.
  0.39925745  0.80399209  0.          0.40606889  0.46569651  0.87396026]",535
52,"[ 2.25140381  0.          2.24244499  0.1907955   0.58151168  0.          2.6009748
  0.          2.3808229   0.          2.36723542  0.          0.
  1.04947364  0.70577013  2.27828121  1.97975504  0.          0.
  1.13654876  1.39281559  0.28816295  0.63017148  1.70134044  0.0547391   0.
  0.08681333  0.54626155  0.          0.63664997  0.26092258  1.3404057 ]",536
53,"[ 2.02264285  0.          2.22800827  0.32175994  0.57670945  0.
  2.25835276  0.          2.51516867  0.          2.40365028  0.          0.
  1.02504003  0.96562648  2.57809186  2.07514238  0.          0.
  1.11444974  1.21501303  0.48652798  0.88845605  1.74154878  0.          0.
  0.0647463   0.92461795  0.          0.77918231  0.3465794   1.00205326]",691
54,"[ 2.52951193  0.          2.30966806  0.58339137  0.3288779   0.
  2.84943438  0.          2.77689528  0.          2.81371832  0.          0.
  1.14639366  0.78698426  2.36105371  2.04282808  0.          0.
  0.98432302  1.45260739  0.25193709  0.77289253  2.01588559  0.          0.
  0.04939485  0.43882802  0.          0.50572968  0.11313265  1.28931427]",692
55,"[ 2.05449796  0.          2.20902228  0.39355877  0.38794354  0.
  2.25537443  0.          2.19134283  0.          2.28245401  0.          0.
  1.00452435  0.74422204  2.50451112  1.8253175   0.          0.
  1.03160691  1.31893194  0.39017582  0.73197418  1.6114763   0.          0.
  0.25990123  0.7519598   0.          0.67939067  0.41550139  1.06877434]",693
56,"[ 2.36220717  0.          2.34349298  0.50734264  0.56705445  0.
  2.51660681  0.          2.446172    0.          2.64302731  0.          0.
  1.17200577  0.91348791  2.62045312  2.15695238  0.          0.
  1.03192544  1.31655955  0.19152433  1.06552875  1.82506776  0.          0.
  0.          0.5950951   0.          0.56732827  0.39127687  0.94137096]",694
57,"[ 2.01533628  0.          2.2218492   0.22455962  0.72440493  0.
  2.33641529  0.          2.4618237   0.          2.55322909  0.          0.
  1.01544583  0.9502731   2.41233468  2.19184732  0.          0.
  1.00535309  1.42298687  0.45125312  0.90140122  1.7016778   0.          0.
  0.12484288  0.76204509  0.          0.55532634  0.55546373  0.97589052]",695
58,"[ 3.92616916  0.          3.4861865   1.06198573  1.65845788  0.
  4.08415461  0.          3.79655623  0.          3.51754427  0.02265348
  0.          1.31391025  0.87229371  3.16838408  2.94509768  0.          0.
  1.73927605  2.94405437  1.41182184  1.09728479  2.21078849  0.08600776
  0.          0.03574593  1.05554593  0.          0.7643044   0.02867665
  2.10737085]",474
59,"[ 3.28797388  0.          3.20188522  1.64285743  1.74001145  0.
  3.81707644  0.          3.50985336  0.          3.41419864  0.33948976
  0.          1.57570672  0.66443998  3.04868174  3.0835371   0.42213202
  0.          1.18462193  2.55783606  1.14737427  1.90090382  2.44883943
  0.          0.          0.          1.04453349  0.          0.5067234   0.
  1.33352494]",137
60,"[ 3.03150249  0.          2.67744803  1.07387388  1.51835263  0.
  3.08267331  0.          2.75525069  0.          2.98085928  0.00387502
  0.          1.07434416  0.435974    2.46379161  2.31971145  0.18672754
  0.          1.12005281  1.93962061  0.77906388  1.08869886  1.51475203
  0.30342829  0.          0.50091398  0.84461802  0.          0.36218289
  0.28720313  0.9969331 ]",314
61,"[ 3.4317143   0.          2.72902369  1.54973722  1.99415624  0.
  3.61785197  0.          3.61136127  0.          3.39826012  0.09555642
  0.          0.90774816  0.50847548  2.67901659  2.6369431   0.35220885
  0.          0.97460884  2.50329137  1.00182831  1.26667559  1.67318356
  0.52531952  0.          0.16475773  0.78183448  0.          0.48406485
  0.          1.58909571]",59
62,"[ 3.052881    0.          2.57868886  1.07244611  1.63635325  0.
  3.11259651  0.          2.92156458  0.          2.95019579  0.09091643
  0.          1.13395989  0.76359862  2.51580095  2.37997103  0.0083189   0.
  1.33341169  2.13701987  0.75400442  1.13124371  1.70307851  0.33070055
  0.          0.32405713  0.8523379   0.          0.49567828  0.04253197
  1.11986732]",701
63,"[ 3.08516502  0.90277082  2.62219501  1.39838004  0.4996905   0.
  3.94344926  0.          3.39519429  0.          4.34654427  0.          0.
  1.83290553  0.          3.42224956  2.83964944  0.          0.
  0.23993923  1.56874335  0.56676912  0.27248055  1.86274254  0.
  0.21055201  1.52794611  0.30933732  0.          0.          0.          1.6396687 ]",742
64,"[ 2.26596737  0.10148269  2.4151392   0.45373842  0.56637698  0.
  2.63882542  0.          2.282758    0.          2.70725083  0.          0.
  1.03251088  0.60282171  2.52473092  2.13828516  0.          0.          0.9352352
  1.273507    0.17066363  0.78302056  1.44816184  0.06450258  0.
  0.08922629  0.84228665  0.          0.55224025  0.46291849  1.16338539]",826
65,"[ 2.22893715  0.          2.39076757  0.49687329  0.26420918  0.
  2.72692704  0.          2.27499056  0.          2.74639153  0.          0.
  1.27968645  0.83023572  2.63246489  2.22122836  0.          0.
  1.07636213  1.26072848  0.12582456  0.84814924  2.03103542  0.          0.
  0.20699087  0.54469484  0.          0.28684029  0.26471993  0.84634006]",833
66,"[ 2.32176733  0.          2.42877483  0.29027131  0.59886128  0.
  2.54740429  0.          2.21721005  0.          2.42638874  0.          0.
  1.36026645  1.0251615   2.54430699  2.250108    0.          0.
  1.26289868  1.35583615  0.35116309  1.12050831  1.91541529  0.          0.
  0.          0.65183467  0.          0.48356977  0.24432372  0.82643974]",834
67,"[ 2.5663476   0.          2.58787894  0.49652815  0.48620173  0.          3.0289247
  0.          2.33255839  0.          2.64680815  0.          0.
  1.54512429  0.73164147  2.41644669  1.89021277  0.          0.
  1.23306727  1.38032472  0.44305372  0.86749125  2.24679232  0.15172534
  0.          0.          0.42143235  0.          0.11378805  0.00486642
  1.13816416]",795
68,"[ 2.04146266  0.08170956  2.34497571  0.24324243  0.41549721  0.
  2.44639659  0.          1.94199359  0.          2.00241113  0.          0.
  1.15383101  0.56468904  2.27582812  1.67292535  0.          0.
  1.01068938  1.10428166  0.09524801  0.72301006  1.67416513  0.          0.
  0.25265008  0.66394186  0.          0.38325059  0.33404025  0.67738771]",835
69,"[ 2.40965605  0.06815511  2.19398856  0.51429605  0.44225112  0.
  2.43976355  0.          2.23695397  0.          2.43352628  0.          0.
  1.15570986  0.61262983  2.19863558  1.55666101  0.          0.
  1.10968637  1.44545865  0.32610565  0.63509685  1.47457325  0.00630345
  0.          0.25221112  0.51997942  0.          0.56449723  0.28795534
  1.19995856]",947
70,"[ 2.25545287  0.          2.40382481  0.1886877   0.4446708   0.
  2.28470778  0.          2.33121753  0.          2.55038905  0.          0.
  1.15068424  0.7230413   2.63513994  1.96687186  0.          0.
  0.95367104  1.35411739  0.55826551  0.85311943  1.61210895  0.          0.
  0.20042288  0.81367588  0.          0.46293792  0.56376618  1.0498606 ]",948
71,"[ 2.2449131   0.02422363  2.33829975  0.47388488  0.5746637   0.
  2.42213297  0.          2.35473704  0.          2.41800809  0.          0.
  1.10728049  0.76115668  2.41835713  1.96063912  0.          0.
  1.20928884  1.60276556  0.51449203  0.74207968  1.59238243  0.          0.
  0.26769692  0.65071142  0.          0.75510871  0.38036317  1.09878612]",550
72,"[ 2.21772242  0.18781278  3.11812258  1.3612262   1.6020788   0.
  2.70600271  0.          3.20117068  0.          2.60517716  0.          0.
  2.00080633  0.          4.10455942  4.02299452  0.          0.
  0.07719125  1.26868165  0.18771091  1.19162929  1.25162947  0.          0.
  0.59690142  0.97934157  0.          0.38492981  0.21538416  1.25734246]",48
73,"[ 2.11643028  0.          2.59327865  0.94155908  1.29981124  0.
  2.25007582  0.          2.62447071  0.          2.04434371  0.          0.
  1.90422869  0.31017351  3.46080208  3.25760269  0.          0.
  0.38900957  1.29929233  0.17819116  1.04498065  0.86299586  0.          0.
  0.35127088  0.82878804  0.          0.55863631  0.          1.06924069]",134
74,"[ 1.98792505  0.21419582  2.70671129  1.15854812  1.40592229  0.          2.731004
  0.          2.94714427  0.07128315  2.46940589  0.          0.
  1.76377082  0.          3.68199587  3.92875934  0.          0.
  0.05857907  1.18667793  0.          0.92411989  0.80306268  0.          0.
  0.14277881  0.88720322  0.          0.4662317   0.          1.24648941]",542
75,"[ 2.4234848   0.23815089  2.72787881  1.51380062  1.74543726  0.
  3.31696892  0.          3.37988949  0.          3.42445636  0.          0.
  1.34952402  0.2791265   3.89030528  4.0838809   0.          0.
  0.11158596  1.63840771  0.          1.03491414  1.0099715   0.          0.
  0.88203734  0.50294524  0.          0.25981706  0.24796982  1.0045898 ]",245
76,"[ 2.43950224  0.29857069  3.07051802  1.26900315  1.17937195  0.
  2.99072504  0.          2.62079859  0.07574394  2.37639427  0.          0.
  2.22579885  0.17617343  4.1707716   3.68438768  0.          0.
  0.14546461  1.31139994  0.          1.33976209  0.97053403  0.          0.
  0.08241797  0.77019322  0.          0.29165757  0.          1.15190732]",963
77,"[ 2.59593511  0.0282321   3.17425227  1.09010088  1.30679989  0.
  2.69278359  0.          2.99316835  0.22916326  2.72932935  0.          0.
  2.33536887  0.12171544  3.9128058   3.22278452  0.          0.
  0.36897111  1.51566124  0.5087148   0.7303198   0.94134241  0.          0.
  0.09032106  0.95456713  0.05898586  0.56887978  0.          1.58296657]",86
